Q No.,Question - general,Parameters,Question - specific,Source,Region(s) Applicable - Known
1,Why does <country> election matter?,<country>,Why do Indian elections matter?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,India
2,How much do <country> election workers get paid?,<country>,How much do Indian election workers get paid?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
3,Who will win the <country> elections in <year>?,"<country>, <year>",Who will win the Indian election 2019?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
4,Are <country> elections democratic?,<country>,Are Indian elections democratic?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
5,Does <country> election involve betting?,<country>,Do India elections involve betting?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
6,N/A,,"What is “one nation, one election”?",https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
7,N/A,,What is Hasan Minhaj’s Indian elections episode?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
8,Can <country> election be hacked?,<country>,Will Indian election be hacked?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
9,Is there a holiday for <country> election? ,<country>,Is there a holiday for Indian election?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
10,N/A,,What is India elections Zuckerberg?,https://www.vice.com/en/article/gy4x3m/10-most-googled-questions-about-indian-election,
