Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
1,N/A,,,The voter application displays error message 0x6-23. What went wrong?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
2,N/A,,,How can I be sure that I am on the right web page and use the correct voter application?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
3,N/A,,,Why can’t I download Windows voter application in my work computer? ,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
4,N/A,,,"Why is it possible to change my vote at i-voting, but not at voting with a ballot paper? ",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
5,N/A,,,Why is the time for checking of an i-vote restricted to 30 minutes?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
6,N/A,,,What to do when the virus protection program on my device sees the voter application as a threat and moves it to quarantine?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
7,I voted at the polling place in <country> and later I also voted online at home. How is it possible?,<country>,,I voted at the polling place and later I also voted online at home. How is it possible?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-i-voting,
8,Where can I get an ID-card in <country>?,<country>,,Where can I get an ID-card?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
9,"My ID-card certificates are not valid (are expired, suspended or annulled). How can I get new ones in <country>?",<country>,,"My ID-card certificates are not valid (are expired, suspended or annulled). How can I get new ones?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
10,N/A,,,I have lost/forgotten my PIN-codes. How can I get new ones?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
11,N/A,,,Is it possible to vote with Digi-ID?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
12,"I have recently renewed my ID-card certificates, but I cannot vote in <country>. Why?",<country>,,"I have recently renewed my ID-card certificates, but I cannot vote. Why?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
